time,'Heater 1: T (C)', 'Heat Element 1', 'Heater 1: enable', 'Heater 2: T (C)', 'Heat Element 2', 'Heater 2: enable', 'Sample Temperature 1: T (C)', 'Sample Temperature 2: T (C)', 'Sample Temperature 3: T (C)', 'Sample Temperature 4: T (C)', 'Steady State: State ()',,,pid,500-4-1
39:29.4,24.87641282, 'off',0,23.24035994, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:29.7,24.87641282, 'off',0,23.2528134, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:30.0,24.87641282, 'off',0,23.26526686, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:30.3,24.87641282, 'off',0,23.2528134, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:30.6,24.87641282, 'off',0,23.2528134, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:30.9,24.87641282, 'off',0,23.26526686, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:31.1,24.87641282, 'off',0,23.27772032, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:31.4,24.87641282, 'off',0,23.29017378, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:31.7,24.87641282, 'off',0,23.30262724, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:32.0,24.87641282, 'off',0,23.3150807, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:32.3,24.87641282, 'off',0,23.3150807, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:32.7,24.87641282, 'off',0,23.3150807, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:32.9,24.87641282, 'off',0,23.3150807, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:33.2,24.87641282, 'off',0,23.3150807, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:33.5,24.88918472, 'off',0,23.3150807, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:33.8,24.88918472, 'off',0,23.3150807, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:34.1,24.88918472, 'off',0,23.3150807, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:34.4,24.88918472, 'off',0,23.3150807, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:34.7,24.90195662, 'off',0,23.3150807, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:35.0,24.91472852, 'off',0,23.3150807, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:35.3,24.92750042, 'off',0,23.3150807, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:35.6,24.91472852, 'off',0,23.3150807, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:35.9,24.92750042, 'off',0,23.3150807, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:36.2,24.92750042, 'off',0,23.3150807, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:36.5,24.92750042, 'off',0,23.3150807, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:36.8,24.92750042, 'off',0,23.3150807, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:37.1,24.91472852, 'off',0,23.3150807, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:37.4,24.90195662, 'off',0,23.3150807, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:37.7,24.90195662, 'off',0,23.3150807, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:38.0,24.90195662, 'off',0,23.32755189, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:38.3,24.88918472, 'off',0,23.34002308, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:38.6,24.88918472, 'off',0,23.35249427, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:38.9,24.88918472, 'off',0,23.35249427, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:39.1,24.90195662, 'off',0,23.34002308, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:39.4,24.88918472, 'off',0,23.34002308, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:39.7,24.88918472, 'off',0,23.34002308, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:40.0,24.90195662, 'on', 'on',23.34002308, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:40.3,24.90195662, 'on', 'on',23.34002308, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:40.6,24.90195662, 'on', 'on',23.34002308, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:40.9,24.91472852, 'on', 'on',23.35249427, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:41.2,24.92750042, 'on', 'on',23.35249427, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:41.5,24.92750042, 'on', 'on',23.35249427, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:41.8,24.92750042, 'on', 'on',23.35249427, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:42.1,24.92750042, 'on', 'on',23.34002308, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:42.4,24.92750042, 'on', 'on',23.34002308, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:42.7,24.91472852, 'on', 'on',23.34002308, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:42.9,24.91472852, 'on', 'on',23.34002308, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:43.3,24.91472852, 'on', 'on',23.34002308, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:43.6,24.91472852, 'on', 'on',23.35249427, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:43.9,24.91472852, 'on', 'on',23.35249427, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:44.1,24.92750042, 'on', 'on',23.36496546, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:44.5,24.92750042, 'on', 'on',23.36496546, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:44.7,24.92750042, 'on', 'on',23.36496546, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:45.0,24.92750042, 'on', 'on',23.36496546, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:45.3,24.94027232, 'on', 'on',23.3774545, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:45.6,24.92750042, 'on', 'on',23.40241473, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:46.0,24.91472852, 'on', 'on',23.42737496, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:46.2,24.91472852, 'on', 'on',23.439864, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:46.5,24.92750042, 'on', 'on',23.45235305, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:46.9,24.94027232, 'on', 'on',23.46484209, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:47.2,24.94027232, 'on', 'on',23.46484209, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:47.5,24.94027232, 'on', 'on',23.46484209, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:47.7,24.94027232, 'on', 'on',23.4773491, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:48.0,24.94027232, 'on', 'on',23.48985612, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:48.4,24.92750042, 'on', 'on',23.51488825, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:48.7,24.94027232, 'on', 'on',23.53992038, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:48.9,24.94027232, 'on', 'on',23.56495251, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:49.2,24.95304421, 'on', 'on',23.60252798, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:49.4,24.95304421, 'on', 'on',23.62759643, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:49.7,24.95304421, 'on', 'on',23.65266488, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:50.0,24.95304421, 'on', 'on',23.66520822, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:50.3,24.95304421, 'on', 'on',23.67775155, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:50.6,24.95304421, 'on', 'on',23.71543672, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:50.9,24.96583521, 'on', 'on',23.74057856, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:51.2,24.97862621, 'on', 'on',23.76572039, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:51.5,24.9914172, 'on', 'on',23.80346098, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:51.7,25.0042082, 'on', 'on',23.85381903, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:52.0,25.0042082, 'on', 'on',23.90417709, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:52.3,25.0042082, 'on', 'on',23.94202964, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:52.7,25.01699919, 'on', 'on',23.97988218, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:52.9,25.04260042, 'on', 'on',24.01773473, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:53.2,25.05541064, 'on', 'on',24.05564382, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
