time,'Heater 1: T (C)', 'Heat Element 1', 'Heater 1: enable', 'Heater 2: T (C)', 'Heat Element 2', 'Heater 2: enable', 'Sample Temperature 1: T (C)', 'Sample Temperature 2: T (C)', 'Sample Temperature 3: T (C)', 'Sample Temperature 4: T (C)', 'Steady State: State ()'
14:47.2,34.41, 'off', 'on',28.85, 'off',0,33.34,30.15,32.18,31.26, 'Steady'
14:47.5,34.42, 'off', 'on',28.85, 'off',0,33.33,30.16,32.18,31.26, 'Steady'
14:47.8,34.43, 'off', 'on',28.85, 'off',0,33.33,30.16,32.18,31.26, 'Steady'
14:48.2,34.44, 'off', 'on',28.85, 'off',0,33.33,30.15,32.18,31.26, 'Steady'
14:48.5,34.46, 'off', 'on',28.85, 'off',0,33.33,30.15,32.17,31.26, 'Steady'
14:48.8,34.48, 'off', 'on',28.85, 'off',0,33.33,30.16,32.17,31.26, 'Steady'
14:49.1,34.5, 'off', 'on',28.85, 'off',0,33.32,30.17,32.17,31.26, 'Steady'
14:49.4,34.52, 'off', 'on',28.85, 'off',0,33.32,30.17,32.17,31.26, 'Steady'
14:49.7,34.54, 'off', 'on',28.85, 'off',0,33.32,30.17,32.17,31.26, 'Steady'
14:50.1,34.55, 'off', 'on',28.85, 'off',0,33.31,30.16,32.17,31.26, 'Steady'
14:50.4,34.57, 'off', 'on',28.85, 'off',0,33.31,30.17,32.16,31.26, 'Steady'
14:50.7,34.57, 'off', 'on',28.85, 'off',0,33.31,30.17,32.16,31.26, 'Steady'
14:51.0,34.57, 'on', 'on',28.85, 'off',0,33.31,30.18,32.17,31.26, 'Steady'
14:51.3,34.58, 'on', 'on',28.86, 'off',0,33.31,30.18,32.17,31.26, 'Steady'
14:51.6,34.58, 'off', 'on',28.86, 'off',0,33.31,30.18,32.17,31.26, 'Steady'
14:52.0,34.58, 'off', 'on',28.86, 'off',0,33.31,30.18,32.17,31.26, 'Steady'
14:52.3,34.58, 'off', 'on',28.86, 'off',0,33.31,30.18,32.16,31.26, 'Steady'
14:52.6,34.58, 'off', 'on',28.86, 'off',0,33.31,30.18,32.16,31.26, 'Steady'
14:52.9,34.58, 'off', 'on',28.86, 'off',0,33.31,30.19,32.16,31.26, 'Steady'
14:53.2,34.58, 'off', 'on',28.86, 'off',0,33.32,30.19,32.17,31.27, 'Steady'
14:53.5,34.58, 'off', 'on',28.87, 'off',0,33.32,30.19,32.16,31.27, 'Steady'
14:53.9,34.58, 'off', 'on',28.87, 'off',0,33.32,30.2,32.16,31.27, 'Steady'
14:54.2,34.59, 'off', 'on',28.87, 'off',0,33.32,30.2,32.16,31.27, 'Steady'
14:54.5,34.6, 'off', 'on',28.87, 'off',0,33.32,30.2,32.17,31.27, 'Steady'
14:54.8,34.61, 'off', 'on',28.87, 'off',0,33.32,30.2,32.18,31.28, 'Steady'
14:55.1,34.62, 'off', 'on',28.88, 'off',0,33.32,30.2,32.19,31.28, 'Steady'
14:55.4,34.62, 'off', 'on',28.88, 'off',0,33.32,30.2,32.18,31.28, 'Steady'
14:55.8,34.64, 'off', 'on',28.88, 'off',0,33.33,30.2,32.19,31.28, 'Steady'
14:56.1,34.65, 'off', 'on',28.89, 'off',0,33.32,30.2,32.19,31.28, 'Steady'
14:56.4,34.65, 'off', 'on',28.9, 'off',0,33.32,30.2,32.19,31.28, 'Steady'
14:56.7,34.66, 'off', 'on',28.9, 'off',0,33.33,30.21,32.18,31.28, 'Steady'
14:57.0,34.68, 'off', 'on',28.91, 'off',0,33.33,30.21,32.18,31.28, 'Steady'
14:57.3,34.69, 'off', 'on',28.92, 'off',0,33.32,30.21,32.18,31.28, 'Steady'
14:57.7,34.7, 'off', 'on',28.92, 'off',0,33.32,30.22,32.17,31.28, 'Steady'
14:58.0,34.73, 'off', 'on',28.93, 'off',0,33.32,30.22,32.17,31.28, 'Steady'
14:58.3,34.75, 'off', 'on',28.93, 'off',0,33.32,30.22,32.18,31.28, 'Steady'
14:58.7,34.77, 'off', 'on',28.93, 'off',0,33.32,30.21,32.18,31.28, 'Steady'
14:59.0,34.79, 'off', 'on',28.94, 'off',0,33.32,30.22,32.18,31.28, 'Steady'
14:59.3,34.81, 'off', 'on',28.94, 'off',0,33.32,30.22,32.18,31.28, 'Steady'
14:59.6,34.83, 'off', 'on',28.94, 'off',0,33.32,30.22,32.18,31.28, 'Steady'
14:59.9,34.84, 'off', 'on',28.95, 'off',0,33.32,30.22,32.17,31.28, 'Steady'
15:00.2,34.86, 'off', 'on',28.95, 'off',0,33.32,30.22,32.18,31.28, 'Steady'
15:00.5,34.87, 'off', 'on',28.95, 'off',0,33.32,30.22,32.18,31.28, 'Steady'
15:00.9,34.89, 'off', 'on',28.96, 'off',0,33.32,30.22,32.18,31.28, 'Steady'
15:01.2,34.9, 'off', 'on',28.96, 'off',0,33.32,30.22,32.17,31.28, 'Steady'
15:01.5,34.91, 'off', 'on',28.97, 'off',0,33.32,30.22,32.17,31.28, 'Steady'
15:01.8,34.93, 'off', 'on',28.97, 'off',0,33.32,30.22,32.17,31.28, 'Steady'
15:02.1,34.94, 'off', 'on',28.98, 'off',0,33.32,30.22,32.18,31.28, 'Varying'
15:02.4,34.94, 'off', 'on',28.98, 'off',0,33.32,30.22,32.18,31.28, 'Steady'
15:02.8,34.95, 'off', 'on',28.99, 'off',0,33.32,30.22,32.18,31.28, 'Steady'
15:03.1,34.95, 'off', 'on',28.99, 'off',0,33.32,30.22,32.18,31.28, 'Varying'
15:03.4,34.95, 'off', 'on',28.99, 'off',0,33.32,30.22,32.18,31.28, 'Steady'
15:03.7,34.95, 'off', 'on',28.99, 'off',0,33.32,30.22,32.19,31.28, 'Steady'
15:04.0,34.95, 'off', 'on',29, 'off',0,33.32,30.22,32.19,31.28, 'Steady'
15:04.3,34.95, 'off', 'on',29, 'off',0,33.33,30.22,32.19,31.28, 'Steady'
15:04.7,34.96, 'off', 'on',29, 'off',0,33.33,30.22,32.19,31.28, 'Steady'
15:05.0,34.96, 'off', 'on',29.02, 'off',0,33.33,30.22,32.19,31.28, 'Steady'
15:05.3,34.97, 'off', 'on',29.02, 'off',0,33.33,30.22,32.19,31.28, 'Steady'
15:05.6,34.98, 'off', 'on',29.04, 'off',0,33.33,30.22,32.18,31.28, 'Steady'
15:05.9,34.99, 'off', 'on',29.05, 'off',0,33.33,30.22,32.18,31.28, 'Steady'
15:06.2,35, 'off', 'on',29.06, 'off',0,33.34,30.22,32.18,31.28, 'Steady'
15:06.6,35.02, 'off', 'on',29.06, 'off',0,33.34,30.22,32.19,31.28, 'Steady'
15:06.9,35.03, 'off', 'on',29.07, 'off',0,33.34,30.22,32.19,31.28, 'Steady'
15:07.2,35.05, 'off', 'on',29.08, 'off',0,33.35,30.22,32.19,31.28, 'Steady'
15:07.6,35.07, 'off', 'on',29.08, 'off',0,33.35,30.22,32.19,31.28, 'Steady'
15:07.9,35.08, 'off', 'on',29.09, 'off',0,33.35,30.22,32.19,31.28, 'Steady'
15:08.2,35.09, 'off', 'on',29.09, 'off',0,33.35,30.22,32.19,31.28, 'Steady'
15:08.6,35.11, 'off', 'on',29.1, 'off',0,33.35,30.22,32.19,31.28, 'Steady'
15:08.9,35.11, 'off', 'on',29.1, 'off',0,33.35,30.22,32.19,31.28, 'Varying'
15:09.2,35.12, 'off', 'on',29.11, 'off',0,33.36,30.22,32.2,31.28, 'Varying'
15:09.6,35.12, 'off', 'on',29.11, 'off',0,33.36,30.22,32.19,31.28, 'Steady'
15:09.9,35.13, 'off', 'on',29.11, 'off',0,33.36,30.22,32.19,31.29, 'Steady'
15:10.2,35.13, 'off', 'on',29.11, 'off',0,33.36,30.22,32.19,31.28, 'Varying'
15:10.5,35.14, 'off', 'on',29.11, 'off',0,33.36,30.22,32.18,31.28, 'Steady'
15:10.8,35.15, 'off', 'on',29.11, 'off',0,33.36,30.22,32.19,31.28, 'Steady'
15:11.1,35.15, 'off', 'on',29.12, 'off',0,33.37,30.22,32.18,31.28, 'Steady'
15:11.5,35.16, 'off', 'on',29.12, 'off',0,33.37,30.22,32.18,31.28, 'Steady'
15:11.8,35.16, 'off', 'on',29.12, 'off',0,33.37,30.22,32.19,31.28, 'Steady'
15:12.1,35.17, 'off', 'on',29.13, 'off',0,33.37,30.22,32.19,31.29, 'Steady'
15:12.4,35.17, 'off', 'on',29.13, 'off',0,33.38,30.22,32.19,31.29, 'Steady'
15:12.7,35.17, 'off', 'on',29.13, 'off',0,33.38,30.22,32.19,31.29, 'Steady'
15:13.1,35.18, 'off', 'on',29.13, 'off',0,33.38,30.22,32.2,31.29, 'Steady'
15:13.4,35.18, 'off', 'on',29.13, 'off',0,33.38,30.22,32.2,31.29, 'Steady'
15:13.7,35.19, 'off', 'on',29.13, 'off',0,33.39,30.22,32.2,31.29, 'Steady'
15:14.0,35.2, 'off', 'on',29.14, 'off',0,33.39,30.22,32.21,31.29, 'Steady'
15:14.3,35.21, 'off', 'on',29.14, 'off',0,33.39,30.22,32.21,31.29, 'Steady'
15:14.6,35.21, 'off', 'on',29.14, 'off',0,33.39,30.22,32.21,31.29, 'Steady'
15:15.0,35.22, 'off', 'on',29.15, 'off',0,33.39,30.23,32.2,31.29, 'Steady'
15:15.3,35.22, 'off', 'on',29.15, 'off',0,33.39,30.23,32.2,31.29, 'Steady'
15:15.6,35.22, 'off', 'on',29.15, 'off',0,33.39,30.23,32.2,31.29, 'Steady'
15:15.9,35.22, 'off', 'on',29.15, 'off',0,33.39,30.23,32.2,31.29, 'Steady'
15:16.2,35.22, 'off', 'on',29.16, 'off',0,33.39,30.23,32.2,31.29, 'Steady'
15:16.5,35.22, 'off', 'on',29.16, 'off',0,33.39,30.23,32.2,31.29, 'Steady'
15:16.9,35.22, 'off', 'on',29.17, 'off',0,33.4,30.23,32.2,31.29, 'Steady'
15:17.2,35.22, 'off', 'on',29.17, 'off',0,33.4,30.23,32.2,31.29, 'Steady'
15:17.5,35.22, 'off', 'on',29.17, 'off',0,33.4,30.23,32.21,31.29, 'Steady'
15:17.8,35.23, 'off', 'on',29.17, 'off',0,33.4,30.23,32.21,31.29, 'Steady'
15:18.1,35.23, 'off', 'on',29.17, 'off',0,33.4,30.23,32.21,31.29, 'Steady'
15:18.4,35.23, 'off', 'on',29.18, 'off',0,33.41,30.23,32.21,31.29, 'Steady'
15:18.7,35.23, 'off', 'on',29.18, 'off',0,33.41,30.23,32.21,31.29, 'Steady'
15:19.1,35.23, 'off', 'on',29.18, 'off',0,33.41,30.23,32.21,31.29, 'Steady'
15:19.4,35.23, 'off', 'on',29.18, 'off',0,33.41,30.23,32.21,31.29, 'Steady'
15:19.8,35.23, 'off', 'on',29.19, 'off',0,33.41,30.23,32.21,31.29, 'Steady'
15:20.1,35.24, 'off', 'on',29.19, 'off',0,33.41,30.24,32.21,31.3, 'Steady'
15:20.4,35.24, 'off', 'on',29.2, 'off',0,33.41,30.24,32.21,31.3, 'Steady'
15:20.7,35.24, 'off', 'on',29.2, 'off',0,33.41,30.24,32.22,31.3, 'Steady'
15:21.0,35.24, 'off', 'on',29.2, 'off',0,33.41,30.24,32.21,31.3, 'Steady'
15:21.3,35.24, 'off', 'on',29.21, 'off',0,33.41,30.24,32.21,31.3, 'Steady'
15:21.6,35.24, 'off', 'on',29.21, 'off',0,33.41,30.24,32.21,31.3, 'Steady'
15:22.0,35.24, 'off', 'on',29.21, 'off',0,33.41,30.24,32.22,31.3, 'Steady'
15:22.3,35.24, 'off', 'on',29.21, 'off',0,33.41,30.24,32.22,31.3, 'Steady'
15:22.6,35.24, 'off', 'on',29.22, 'off',0,33.41,30.24,32.22,31.3, 'Steady'
15:22.9,35.23, 'off', 'on',29.22, 'off',0,33.41,30.24,32.22,31.3, 'Steady'
15:23.2,35.23, 'off', 'on',29.22, 'off',0,33.41,30.24,32.22,31.3, 'Steady'
15:24.3,35.23, 'off', 'on',29.23, 'off',0,33.41,30.24,32.22,31.3, 'Steady'
15:24.6,35.23, 'off', 'on',29.22, 'off',0,33.41,30.24,32.22,31.3, 'Steady'
15:25.0,35.22, 'off', 'on',29.22, 'off',0,33.41,30.24,32.23,31.31, 'Steady'
15:25.3,35.22, 'off', 'on',29.22, 'off',0,33.41,30.24,32.23,31.31, 'Steady'
15:25.6,35.22, 'off', 'on',29.23, 'off',0,33.41,30.24,32.23,31.31, 'Steady'
15:25.9,35.22, 'off', 'on',29.23, 'off',0,33.41,30.24,32.23,31.31, 'Steady'
15:26.2,35.21, 'off', 'on',29.23, 'off',0,33.41,30.25,32.23,31.31, 'Steady'
15:26.5,35.21, 'off', 'on',29.24, 'off',0,33.41,30.25,32.23,31.31, 'Steady'
