time,'Heater 1: T (C)', 'Heater 2: T (C)', 'Sample Temperature 1: T (C)', 'Sample Temperature 2: T (C)', 'Sample Temperature 3: T (C)', 'Sample Temperature 4: T (C)',,,,,,,,,,,,,
46:47.3,25.43,25.39,25.33,25.4,25.23,25.25,,,,,,,,,,,,,
46:47.8,25.43,25.39,25.33,25.41,25.22,25.25,,,,,,,,,,,,,
46:48.3,25.43,25.39,25.33,25.41,25.22,25.25,,,,,,,,,,,,,
46:48.8,25.43,25.39,25.33,25.41,25.22,25.25,,,,,,,,,,,,,
46:49.3,25.44,25.4,25.33,25.41,25.22,25.25,,,,,,,,,,,,,
46:49.8,25.44,25.4,25.33,25.41,25.21,25.25,,,,,,,,,,,,,
46:50.3,25.43,25.4,25.33,25.41,25.22,25.25,,,,,,,,,,,,,
46:50.8,25.43,25.39,25.33,25.41,25.23,25.25,,,,,,,,,,,,,
46:51.3,25.43,25.4,25.33,25.41,25.23,25.25,,,,,,,,,,,,,
46:51.7,25.43,25.4,25.33,25.41,25.24,25.25,,,,,,,,,,,,,
46:52.1,25.43,25.4,25.33,25.4,25.25,25.25,,,,,,,,,,,,,
46:52.6,25.43,25.4,25.33,25.4,25.25,25.25,,,,,,,,,,,,,
46:53.2,25.43,25.4,25.32,25.4,25.24,25.25,,,,,,,,,,,,,
46:53.7,25.43,25.4,25.32,25.4,25.24,25.25,,,,,,,,,,,,,
46:54.2,25.43,25.39,25.32,25.4,25.24,25.25,,,,,,,,,,,,,
46:54.8,25.43,25.4,25.32,25.4,25.24,25.25,,,,,,,,,,,,,
46:55.2,25.43,25.4,25.32,25.4,25.25,25.25,,,,,,,,,,,,,
46:55.7,25.43,25.4,25.32,25.4,25.24,25.25,,,,,,,,,,,,,
46:56.3,25.43,25.39,25.32,25.4,25.23,25.25,,,,,,,,,,,,,
46:56.8,25.43,25.39,25.32,25.4,25.23,25.25,,,,,,,,,,,,,
46:57.3,25.43,25.39,25.32,25.4,25.23,25.25,,,,,,,,,,,,,
46:57.8,25.43,25.39,25.32,25.41,25.23,25.25,,,,,,,,,,,,,
46:58.3,25.44,25.39,25.32,25.41,25.23,25.25,,,,,,,,,,,,,
46:58.8,25.44,25.39,25.32,25.41,25.23,25.25,,,,,,,,,,,,,
46:59.3,25.44,25.39,25.32,25.41,25.24,25.25,,,,,,,,,,,,,
46:59.8,25.44,25.4,25.32,25.41,25.23,25.25,,,,,,,,,,,,,
47:00.3,25.44,25.4,25.32,25.41,25.24,25.25,,,,,,,,,,,,,
47:00.8,25.44,25.4,25.33,25.41,25.24,25.25,,,,,,,,,,,,,
47:01.3,25.44,25.4,25.33,25.41,25.25,25.25,,,,,,,,,,,,,
47:01.8,25.44,25.4,25.33,25.41,25.25,25.25,,,,,,,,,,,,,
47:02.3,25.44,25.4,25.34,25.41,25.25,25.25,,,,,,,,,,,,,
47:02.8,25.45,25.4,25.34,25.41,25.25,25.25,,,,,,,,,,,,,
47:03.3,25.46,25.4,25.34,25.41,25.25,25.25,,,,,,,,,,,,,
47:03.8,25.48,25.4,25.34,25.41,25.25,25.25,,,,,,,,,,,,,
47:04.3,25.51,25.4,25.34,25.42,25.25,25.25,,,,,,,,,,,,,
47:04.8,25.53,25.4,25.34,25.42,25.24,25.25,,,,,,,,,,,,,
47:05.4,25.56,25.4,25.34,25.42,25.24,25.25,,,,,,,,,,,,,
47:05.9,25.58,25.4,25.33,25.42,25.23,25.25,,,,,,,,,,,,,
47:06.4,25.6,25.4,25.33,25.41,25.23,25.25,,,,,,,,,,,,,
47:06.9,25.61,25.4,25.33,25.41,25.23,25.25,,,,,,,,,,,,,
47:07.4,25.63,25.4,25.33,25.41,25.23,25.25,,,,,,,,,,,,,
47:07.9,25.64,25.4,25.33,25.41,25.24,25.25,,,,,,,,,,,,,
47:08.4,25.67,25.4,25.33,25.41,25.24,25.25,,,,,,,,,,,,,
47:08.9,25.69,25.4,25.33,25.41,25.24,25.25,,,,,,,,,,,,,
47:09.5,25.71,25.4,25.33,25.4,25.25,25.25,,,,,,,,,,,,,
47:10.0,25.73,25.4,25.33,25.4,25.25,25.25,,,,,,,,,,,,,
47:10.5,25.74,25.4,25.33,25.4,25.25,25.25,,,,,,,,,,,,,
47:11.0,25.75,25.4,25.33,25.4,25.25,25.25,,,,,,,,,,,,,
47:11.5,25.76,25.4,25.33,25.41,25.24,25.25,,,,,,,,,,,,,
47:12.1,25.76,25.4,25.33,25.4,25.24,25.25,,,,,,,,,,,,,
47:12.6,25.76,25.4,25.34,25.41,25.24,25.25,,,,,,,,,,,,,
47:13.0,25.76,25.4,25.34,25.4,25.24,25.25,,,,,,,,,,,,,
47:13.5,25.76,25.4,25.34,25.41,25.24,25.25,,,,,,,,,,,,,
47:14.0,25.76,25.4,25.34,25.41,25.24,25.25,,,,,,,,,,,,,
47:14.6,25.77,25.4,25.34,25.4,25.24,25.25,,,,,,,,,,,,,
47:15.1,25.78,25.4,25.34,25.4,25.24,25.25,,,,,,,,,,,,,
47:15.5,25.78,25.4,25.34,25.4,25.25,25.25,,,,,,,,,,,,,
47:16.1,25.8,25.4,25.34,25.4,25.25,25.25,,,,,,,,,,,,,
47:16.6,25.81,25.4,25.34,25.4,25.25,25.25,,,,,,,,,,,,,
47:17.1,25.82,25.4,25.34,25.4,25.25,25.25,,,,,,,,,,,,,
47:17.5,25.83,25.4,25.34,25.4,25.25,25.25,,,,,,,,,,,,,
47:18.0,25.83,25.4,25.34,25.4,25.25,25.25,,,,,,,,,,,,,
47:18.6,25.83,25.4,25.35,25.4,25.25,25.25,,,,,,,,,,,,,
47:19.0,25.84,25.4,25.35,25.4,25.25,25.25,,,,,,,,,,,,,
47:19.5,25.84,25.4,25.35,25.4,25.26,25.25,,,,,,,,,,,,,
47:20.1,25.85,25.4,25.35,25.4,25.26,25.25,,,,,,,,,,,,,
47:20.5,25.85,25.4,25.35,25.4,25.26,25.25,,,,,,,,,,,,,
47:21.0,25.86,25.4,25.35,25.41,25.26,25.25,,,,,,,,,,,,,
47:21.5,25.86,25.41,25.35,25.41,25.26,25.25,,,,,,,,,,,,,
47:22.0,25.86,25.41,25.35,25.41,25.26,25.25,,,,,,,,,,,,,
47:22.4,25.87,25.41,25.35,25.41,25.27,25.25,,,,,,,,,,,,,
47:22.9,25.87,25.41,25.35,25.41,25.27,25.25,,,,,,,,,,,,,
47:23.4,25.88,25.41,25.35,25.41,25.26,25.25,,,,,,,,,,,,,
47:23.9,25.88,25.41,25.35,25.4,25.26,25.25,,,,,,,,,,,,,
47:24.4,25.89,25.41,25.35,25.4,25.26,25.25,,,,,,,,,,,,,
47:24.9,25.89,25.41,25.35,25.4,25.26,25.25,,,,,,,,,,,,,
47:25.5,25.9,25.41,25.35,25.4,25.26,25.25,,,,,,,,,,,,,
47:26.0,25.91,25.41,25.35,25.4,25.26,25.25,,,,,,,,,,,,,
47:26.5,25.92,25.42,25.35,25.4,25.26,25.25,,,,,,,,,,,,,
47:27.0,25.93,25.42,25.35,25.4,25.26,25.25,,,,,,,,,,,,,
47:27.5,25.94,25.42,25.35,25.4,25.26,25.25,,,,,,,,,,,,,
47:28.0,25.94,25.43,25.35,25.4,25.25,25.25,,,,,,,,,,,,,
47:28.5,25.95,25.43,25.35,25.41,25.25,25.25,,,,,,,,,,,,,
47:29.0,25.95,25.44,25.35,25.41,25.24,25.25,,,,,,,,,,,,,
47:29.5,25.96,25.44,25.35,25.41,25.23,25.25,,,,,,,,,,,,,
