time,'Heater 1: T (C)', 'Heater 2: T (C)', 'Sample Temperature 1: T (C)', 'Sample Temperature 2: T (C)', 'Sample Temperature 3: T (C)', 'Sample Temperature 4: T (C)',,,,,,,,,,,,,
50:44.7,25.76,25.54,25.57,25.46,25.27,25.4,,,,,,,,,,,,,
50:45.2,25.76,25.54,25.57,25.46,25.27,25.4,,,,,,,,,,,,,
50:45.5,25.76,25.55,25.57,25.46,25.27,25.4,,,,,,,,,,,,,
50:46.0,25.76,25.55,25.57,25.46,25.26,25.4,,,,,,,,,,,,,
50:46.5,25.76,25.55,25.56,25.46,25.26,25.4,,,,,,,,,,,,,
50:47.1,25.76,25.55,25.56,25.46,25.26,25.39,,,,,,,,,,,,,
50:47.6,25.76,25.55,25.56,25.46,25.26,25.4,,,,,,,,,,,,,
50:48.1,25.76,25.55,25.56,25.46,25.26,25.39,,,,,,,,,,,,,
50:48.5,25.76,25.55,25.56,25.46,25.26,25.39,,,,,,,,,,,,,
50:48.9,25.76,25.55,25.56,25.46,25.26,25.39,,,,,,,,,,,,,
50:49.4,25.76,25.55,25.56,25.46,25.26,25.4,,,,,,,,,,,,,
50:49.9,25.76,25.55,25.56,25.46,25.26,25.4,,,,,,,,,,,,,
50:50.3,25.76,25.54,25.56,25.45,25.27,25.4,,,,,,,,,,,,,
50:50.8,25.76,25.54,25.57,25.45,25.27,25.4,,,,,,,,,,,,,
50:51.4,25.76,25.54,25.57,25.45,25.28,25.4,,,,,,,,,,,,,
50:51.9,25.76,25.54,25.57,25.45,25.27,25.4,,,,,,,,,,,,,
50:52.3,25.75,25.54,25.57,25.45,25.27,25.4,,,,,,,,,,,,,
50:52.8,25.75,25.54,25.57,25.45,25.28,25.4,,,,,,,,,,,,,
50:53.3,25.75,25.54,25.57,25.46,25.28,25.4,,,,,,,,,,,,,
50:53.8,25.75,25.54,25.57,25.46,25.28,25.4,,,,,,,,,,,,,
50:54.3,25.75,25.54,25.57,25.46,25.28,25.4,,,,,,,,,,,,,
50:54.8,25.75,25.54,25.57,25.46,25.28,25.41,,,,,,,,,,,,,
50:55.3,25.75,25.55,25.57,25.46,25.28,25.41,,,,,,,,,,,,,
50:55.8,25.75,25.55,25.57,25.46,25.28,25.41,,,,,,,,,,,,,
50:56.3,25.75,25.55,25.57,25.46,25.28,25.41,,,,,,,,,,,,,
50:56.8,25.75,25.54,25.56,25.45,25.28,25.41,,,,,,,,,,,,,
50:57.3,25.75,25.54,25.56,25.45,25.28,25.41,,,,,,,,,,,,,
50:57.8,25.75,25.54,25.56,25.45,25.28,25.41,,,,,,,,,,,,,
50:58.2,25.75,25.54,25.56,25.45,25.28,25.41,,,,,,,,,,,,,
50:58.7,25.75,25.54,25.56,25.45,25.28,25.41,,,,,,,,,,,,,
50:59.1,25.75,25.54,25.56,25.45,25.28,25.41,,,,,,,,,,,,,
50:59.6,25.75,25.54,25.56,25.45,25.28,25.41,,,,,,,,,,,,,
51:00.1,25.75,25.54,25.56,25.45,25.29,25.41,,,,,,,,,,,,,
51:00.6,25.75,25.54,25.56,25.45,25.29,25.41,,,,,,,,,,,,,
51:01.1,25.75,25.54,25.56,25.46,25.29,25.41,,,,,,,,,,,,,
51:01.5,25.75,25.54,25.56,25.46,25.28,25.41,,,,,,,,,,,,,
51:02.0,25.75,25.54,25.56,25.46,25.28,25.41,,,,,,,,,,,,,
51:02.5,25.75,25.54,25.56,25.46,25.27,25.41,,,,,,,,,,,,,
51:03.1,25.75,25.54,25.56,25.46,25.28,25.41,,,,,,,,,,,,,
51:03.6,25.75,25.54,25.56,25.46,25.28,25.41,,,,,,,,,,,,,
51:04.1,25.75,25.54,25.57,25.46,25.28,25.41,,,,,,,,,,,,,
51:04.6,25.75,25.54,25.57,25.45,25.28,25.41,,,,,,,,,,,,,
51:05.1,25.75,25.54,25.57,25.46,25.28,25.41,,,,,,,,,,,,,
51:05.6,25.75,25.54,25.57,25.46,25.28,25.41,,,,,,,,,,,,,
51:06.1,25.75,25.53,25.57,25.46,25.28,25.41,,,,,,,,,,,,,
51:06.6,25.75,25.53,25.57,25.45,25.28,25.41,,,,,,,,,,,,,
51:07.1,25.74,25.53,25.57,25.45,25.28,25.41,,,,,,,,,,,,,
51:07.6,25.75,25.54,25.57,25.45,25.28,25.41,,,,,,,,,,,,,
51:08.0,25.75,25.54,25.57,25.45,25.28,25.41,,,,,,,,,,,,,
51:08.6,25.75,25.54,25.57,25.45,25.28,25.41,,,,,,,,,,,,,
51:09.1,25.75,25.54,25.57,25.46,25.28,25.41,,,,,,,,,,,,,
51:09.6,25.75,25.55,25.56,25.46,25.28,25.41,,,,,,,,,,,,,
51:10.1,25.75,25.55,25.56,25.46,25.28,25.41,,,,,,,,,,,,,
51:10.6,25.75,25.55,25.56,25.46,25.28,25.41,,,,,,,,,,,,,
51:11.1,25.75,25.55,25.56,25.46,25.28,25.41,,,,,,,,,,,,,
51:11.5,25.75,25.55,25.56,25.46,25.28,25.41,,,,,,,,,,,,,
51:12.1,25.75,25.55,25.56,25.46,25.28,25.41,,,,,,,,,,,,,
51:12.6,25.75,25.55,25.56,25.46,25.28,25.41,,,,,,,,,,,,,
51:13.1,25.75,25.55,25.56,25.46,25.28,25.41,,,,,,,,,,,,,
51:13.4,25.75,25.55,25.56,25.46,25.28,25.41,,,,,,,,,,,,,
51:13.7,25.75,25.55,25.56,25.46,25.28,25.41,,,,,,,,,,,,,
51:14.2,25.75,25.55,25.56,25.46,25.28,25.41,,,,,,,,,,,,,
51:14.6,25.75,25.55,25.56,25.46,25.28,25.41,,,,,,,,,,,,,
51:15.0,25.74,25.55,25.57,25.45,25.28,25.41,,,,,,,,,,,,,
51:15.4,25.74,25.55,25.57,25.45,25.28,25.41,,,,,,,,,,,,,
51:15.9,25.74,25.55,25.56,25.45,25.28,25.41,,,,,,,,,,,,,
51:16.3,25.74,25.55,25.56,25.45,25.28,25.41,,,,,,,,,,,,,
51:16.8,25.74,25.55,25.56,25.45,25.28,25.41,,,,,,,,,,,,,
51:17.3,25.74,25.55,25.56,25.45,25.28,25.41,,,,,,,,,,,,,
51:17.8,25.74,25.55,25.56,25.45,25.28,25.41,,,,,,,,,,,,,
51:18.3,25.74,25.55,25.56,25.45,25.28,25.41,,,,,,,,,,,,,
51:18.7,25.74,25.56,25.55,25.45,25.28,25.41,,,,,,,,,,,,,
51:19.2,25.74,25.56,25.55,25.45,25.28,25.41,,,,,,,,,,,,,
51:19.7,25.74,25.55,25.56,25.45,25.28,25.41,,,,,,,,,,,,,
51:20.2,25.74,25.55,25.56,25.46,25.28,25.42,,,,,,,,,,,,,
51:20.6,25.74,25.55,25.56,25.46,25.28,25.42,,,,,,,,,,,,,
51:21.1,25.74,25.54,25.56,25.46,25.28,25.42,,,,,,,,,,,,,
51:21.5,25.73,25.54,25.56,25.46,25.29,25.42,,,,,,,,,,,,,
51:22.1,25.73,25.54,25.56,25.46,25.29,25.42,,,,,,,,,,,,,
51:22.5,25.74,25.54,25.56,25.46,25.29,25.42,,,,,,,,,,,,,
51:23.0,25.74,25.54,25.57,25.46,25.29,25.42,,,,,,,,,,,,,
51:23.6,25.74,25.54,25.57,25.46,25.29,25.42,,,,,,,,,,,,,
51:24.0,25.74,25.54,25.57,25.46,25.29,25.42,,,,,,,,,,,,,
51:24.5,25.74,25.54,25.57,25.46,25.3,25.42,,,,,,,,,,,,,
51:25.0,25.74,25.54,25.57,25.46,25.3,25.42,,,,,,,,,,,,,
51:25.5,25.74,25.55,25.57,25.46,25.3,25.42,,,,,,,,,,,,,
51:26.0,25.74,25.55,25.57,25.46,25.3,25.42,,,,,,,,,,,,,
51:26.5,25.74,25.55,25.57,25.46,25.3,25.42,,,,,,,,,,,,,
51:27.0,25.74,25.55,25.57,25.46,25.3,25.42,,,,,,,,,,,,,
51:27.5,25.73,25.55,25.57,25.46,25.3,25.42,,,,,,,,,,,,,
51:27.9,25.73,25.55,25.57,25.46,25.3,25.42,,,,,,,,,,,,,
51:28.4,25.73,25.55,25.57,25.46,25.29,25.42,,,,,,,,,,,,,
51:28.8,25.73,25.55,25.57,25.46,25.29,25.42,,,,,,,,,,,,,
51:29.2,25.74,25.54,25.57,25.46,25.3,25.42,,,,,,,,,,,,,
51:29.7,25.74,25.54,25.57,25.46,25.3,25.42,,,,,,,,,,,,,
51:30.1,25.74,25.55,25.57,25.46,25.3,25.41,,,,,,,,,,,,,
51:30.6,25.74,25.55,25.57,25.46,25.3,25.41,,,,,,,,,,,,,
51:31.1,25.74,25.55,25.57,25.46,25.29,25.41,,,,,,,,,,,,,
51:31.5,25.75,25.55,25.57,25.46,25.28,25.41,,,,,,,,,,,,,
51:31.9,25.74,25.55,25.57,25.46,25.28,25.41,,,,,,,,,,,,,
51:32.4,25.74,25.55,25.56,25.46,25.29,25.41,,,,,,,,,,,,,
51:32.9,25.74,25.55,25.56,25.46,25.28,25.41,,,,,,,,,,,,,
51:33.4,25.74,25.55,25.56,25.46,25.28,25.41,,,,,,,,,,,,,
51:33.8,25.74,25.55,25.56,25.46,25.29,25.41,,,,,,,,,,,,,
51:34.3,25.75,25.56,25.56,25.46,25.28,25.42,,,,,,,,,,,,,
51:34.8,25.75,25.56,25.56,25.46,25.28,25.42,,,,,,,,,,,,,
51:35.3,25.74,25.56,25.56,25.46,25.29,25.42,,,,,,,,,,,,,
51:35.8,25.74,25.56,25.56,25.46,25.29,25.42,,,,,,,,,,,,,
51:36.3,25.75,25.56,25.56,25.46,25.29,25.41,,,,,,,,,,,,,
51:36.8,25.74,25.56,25.56,25.46,25.3,25.41,,,,,,,,,,,,,
51:37.3,25.74,25.56,25.56,25.46,25.3,25.42,,,,,,,,,,,,,
51:37.8,25.74,25.56,25.56,25.46,25.3,25.42,,,,,,,,,,,,,
51:38.3,25.74,25.55,25.56,25.46,25.3,25.42,,,,,,,,,,,,,
51:38.8,25.73,25.55,25.56,25.46,25.3,25.42,,,,,,,,,,,,,
51:39.3,25.74,25.55,25.56,25.46,25.29,25.42,,,,,,,,,,,,,
51:39.8,25.74,25.55,25.56,25.46,25.29,25.42,,,,,,,,,,,,,
51:40.3,25.73,25.55,25.56,25.46,25.29,25.42,,,,,,,,,,,,,
51:40.8,25.73,25.55,25.56,25.45,25.29,25.42,,,,,,,,,,,,,
51:41.3,25.73,25.55,25.56,25.45,25.29,25.42,,,,,,,,,,,,,
51:41.8,25.73,25.55,25.56,25.45,25.28,25.42,,,,,,,,,,,,,
51:42.3,25.73,25.55,25.56,25.45,25.28,25.42,,,,,,,,,,,,,
51:42.8,25.73,25.56,25.56,25.46,25.29,25.42,,,,,,,,,,,,,
51:43.3,25.73,25.56,25.56,25.46,25.29,25.41,,,,,,,,,,,,,
51:43.9,25.73,25.56,25.56,25.46,25.29,25.41,,,,,,,,,,,,,
51:44.4,25.73,25.56,25.56,25.46,25.29,25.41,,,,,,,,,,,,,
51:44.9,25.73,25.56,25.56,25.46,25.29,25.41,,,,,,,,,,,,,
51:45.3,25.73,25.56,25.56,25.46,25.29,25.41,,,,,,,,,,,,,
51:45.9,25.73,25.56,25.56,25.46,25.29,25.41,,,,,,,,,,,,,
51:46.3,25.73,25.56,25.56,25.46,25.29,25.41,,,,,,,,,,,,,
51:46.9,25.73,25.56,25.56,25.46,25.29,25.41,,,,,,,,,,,,,
51:47.3,25.73,25.56,25.56,25.46,25.29,25.42,,,,,,,,,,,,,
51:47.9,25.73,25.55,25.56,25.46,25.29,25.42,,,,,,,,,,,,,
51:48.3,25.73,25.55,25.56,25.46,25.3,25.42,,,,,,,,,,,,,
51:48.8,25.73,25.55,25.57,25.46,25.3,25.42,,,,,,,,,,,,,
51:49.3,25.74,25.55,25.57,25.46,25.3,25.42,,,,,,,,,,,,,
51:49.8,25.74,25.55,25.57,25.46,25.3,25.42,,,,,,,,,,,,,
51:50.3,25.74,25.55,25.57,25.46,25.3,25.42,,,,,,,,,,,,,
51:50.8,25.74,25.55,25.57,25.46,25.3,25.42,,,,,,,,,,,,,
51:51.3,25.74,25.56,25.57,25.46,25.3,25.42,,,,,,,,,,,,,
51:51.8,25.74,25.56,25.56,25.46,25.29,25.42,,,,,,,,,,,,,
51:52.3,25.74,25.56,25.56,25.46,25.29,25.42,,,,,,,,,,,,,
51:52.8,25.74,25.56,25.57,25.46,25.29,25.42,,,,,,,,,,,,,
51:53.3,25.73,25.56,25.57,25.46,25.3,25.42,,,,,,,,,,,,,
51:53.8,25.73,25.56,25.56,25.46,25.3,25.42,,,,,,,,,,,,,
51:54.2,25.73,25.56,25.57,25.46,25.3,25.42,,,,,,,,,,,,,
51:54.7,25.73,25.56,25.57,25.46,25.3,25.42,,,,,,,,,,,,,
51:55.3,25.73,25.56,25.58,25.46,25.3,25.42,,,,,,,,,,,,,
51:55.8,25.73,25.56,25.57,25.46,25.3,25.42,,,,,,,,,,,,,
51:56.3,25.73,25.56,25.57,25.46,25.31,25.42,,,,,,,,,,,,,
51:56.9,25.73,25.56,25.57,25.46,25.31,25.42,,,,,,,,,,,,,
51:57.4,25.72,25.56,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
51:58.1,25.72,25.56,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
51:58.5,25.72,25.56,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
51:59.1,25.72,25.56,25.56,25.46,25.32,25.42,,,,,,,,,,,,,
51:59.5,25.72,25.56,25.56,25.46,25.32,25.42,,,,,,,,,,,,,
52:00.1,25.72,25.55,25.56,25.46,25.32,25.42,,,,,,,,,,,,,
52:00.6,25.72,25.55,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:01.1,25.71,25.55,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:01.6,25.71,25.55,25.57,25.46,25.31,25.42,,,,,,,,,,,,,
52:02.1,25.71,25.55,25.57,25.46,25.3,25.42,,,,,,,,,,,,,
52:02.6,25.72,25.55,25.57,25.46,25.3,25.42,,,,,,,,,,,,,
52:03.1,25.72,25.55,25.57,25.46,25.3,25.42,,,,,,,,,,,,,
52:03.6,25.72,25.55,25.57,25.46,25.3,25.42,,,,,,,,,,,,,
52:04.1,25.73,25.55,25.57,25.46,25.29,25.42,,,,,,,,,,,,,
52:04.6,25.73,25.55,25.57,25.46,25.29,25.42,,,,,,,,,,,,,
52:05.1,25.73,25.55,25.57,25.46,25.29,25.42,,,,,,,,,,,,,
52:05.5,25.73,25.55,25.57,25.46,25.29,25.42,,,,,,,,,,,,,
52:06.1,25.73,25.56,25.56,25.46,25.29,25.42,,,,,,,,,,,,,
52:06.6,25.73,25.56,25.56,25.46,25.29,25.42,,,,,,,,,,,,,
52:07.1,25.72,25.56,25.56,25.46,25.3,25.42,,,,,,,,,,,,,
52:07.6,25.72,25.56,25.56,25.46,25.3,25.42,,,,,,,,,,,,,
52:08.1,25.71,25.56,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:08.4,25.71,25.55,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:08.9,25.71,25.56,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:09.4,25.72,25.56,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:09.9,25.72,25.56,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:10.4,25.72,25.56,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:10.9,25.72,25.55,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:11.3,25.72,25.55,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:11.8,25.71,25.55,25.56,25.46,25.3,25.42,,,,,,,,,,,,,
52:12.3,25.72,25.54,25.56,25.46,25.3,25.42,,,,,,,,,,,,,
52:12.9,25.72,25.54,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:13.4,25.71,25.54,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:13.8,25.71,25.54,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:14.3,25.71,25.54,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:14.8,25.71,25.54,25.57,25.46,25.31,25.42,,,,,,,,,,,,,
52:15.4,25.71,25.54,25.57,25.46,25.31,25.42,,,,,,,,,,,,,
52:15.9,25.72,25.55,25.57,25.46,25.31,25.42,,,,,,,,,,,,,
52:16.4,25.72,25.55,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:16.9,25.73,25.56,25.56,25.46,25.3,25.42,,,,,,,,,,,,,
52:17.3,25.73,25.56,25.56,25.46,25.29,25.42,,,,,,,,,,,,,
52:17.6,25.73,25.56,25.56,25.46,25.29,25.42,,,,,,,,,,,,,
52:18.1,25.73,25.56,25.56,25.46,25.3,25.42,,,,,,,,,,,,,
52:18.6,25.72,25.56,25.56,25.46,25.3,25.42,,,,,,,,,,,,,
52:19.1,25.72,25.56,25.56,25.46,25.3,25.42,,,,,,,,,,,,,
52:19.6,25.72,25.56,25.56,25.46,25.3,25.42,,,,,,,,,,,,,
52:20.1,25.73,25.56,25.56,25.46,25.29,25.42,,,,,,,,,,,,,
52:20.5,25.73,25.56,25.56,25.46,25.29,25.42,,,,,,,,,,,,,
52:21.1,25.73,25.56,25.56,25.46,25.29,25.42,,,,,,,,,,,,,
52:21.6,25.72,25.56,25.56,25.46,25.29,25.42,,,,,,,,,,,,,
52:22.1,25.72,25.55,25.56,25.46,25.29,25.42,,,,,,,,,,,,,
52:22.6,25.72,25.55,25.56,25.46,25.3,25.42,,,,,,,,,,,,,
52:23.2,25.72,25.56,25.56,25.46,25.3,25.42,,,,,,,,,,,,,
52:23.7,25.72,25.56,25.56,25.46,25.3,25.42,,,,,,,,,,,,,
52:24.2,25.72,25.56,25.56,25.46,25.3,25.42,,,,,,,,,,,,,
52:24.8,25.72,25.55,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:25.4,25.71,25.55,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:25.9,25.71,25.55,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:26.4,25.72,25.55,25.57,25.46,25.31,25.42,,,,,,,,,,,,,
52:26.9,25.71,25.55,25.57,25.46,25.31,25.42,,,,,,,,,,,,,
52:27.4,25.71,25.55,25.57,25.46,25.31,25.42,,,,,,,,,,,,,
52:27.9,25.71,25.55,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:28.3,25.71,25.55,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:28.8,25.71,25.56,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:29.2,25.71,25.56,25.56,25.46,25.3,25.42,,,,,,,,,,,,,
52:29.8,25.71,25.56,25.57,25.46,25.3,25.42,,,,,,,,,,,,,
52:30.3,25.71,25.56,25.56,25.46,25.3,25.42,,,,,,,,,,,,,
52:30.8,25.71,25.56,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:31.4,25.7,25.56,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:31.9,25.7,25.56,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:32.4,25.7,25.56,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:32.9,25.7,25.55,25.57,25.46,25.31,25.42,,,,,,,,,,,,,
52:33.4,25.7,25.55,25.57,25.46,25.31,25.42,,,,,,,,,,,,,
52:33.9,25.7,25.55,25.56,25.46,25.32,25.42,,,,,,,,,,,,,
52:34.4,25.7,25.55,25.56,25.46,25.32,25.42,,,,,,,,,,,,,
52:34.9,25.7,25.55,25.56,25.46,25.32,25.42,,,,,,,,,,,,,
52:35.4,25.7,25.56,25.56,25.46,25.32,25.42,,,,,,,,,,,,,
52:35.9,25.7,25.56,25.56,25.46,25.32,25.42,,,,,,,,,,,,,
52:36.4,25.69,25.56,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:36.9,25.7,25.56,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:37.4,25.7,25.56,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:37.9,25.7,25.56,25.55,25.46,25.31,25.42,,,,,,,,,,,,,
52:38.4,25.7,25.56,25.55,25.46,25.31,25.42,,,,,,,,,,,,,
52:39.0,25.71,25.56,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:39.4,25.71,25.56,25.56,25.46,25.32,25.42,,,,,,,,,,,,,
52:39.9,25.71,25.56,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:40.4,25.71,25.56,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:40.9,25.71,25.56,25.57,25.46,25.31,25.42,,,,,,,,,,,,,
52:41.2,25.71,25.55,25.57,25.46,25.31,25.42,,,,,,,,,,,,,
52:41.8,25.7,25.55,25.56,25.46,25.32,25.42,,,,,,,,,,,,,
52:42.3,25.71,25.55,25.57,25.46,25.31,25.42,,,,,,,,,,,,,
52:42.8,25.71,25.56,25.57,25.46,25.31,25.42,,,,,,,,,,,,,
52:43.4,25.71,25.56,25.57,25.46,25.31,25.42,,,,,,,,,,,,,
52:43.9,25.71,25.56,25.56,25.46,25.3,25.42,,,,,,,,,,,,,
52:44.4,25.71,25.56,25.56,25.46,25.3,25.42,,,,,,,,,,,,,
52:45.0,25.71,25.56,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:45.4,25.71,25.56,25.55,25.46,25.31,25.42,,,,,,,,,,,,,
52:45.9,25.71,25.56,25.55,25.46,25.31,25.42,,,,,,,,,,,,,
52:46.4,25.71,25.56,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:46.9,25.71,25.56,25.55,25.46,25.31,25.42,,,,,,,,,,,,,
52:47.4,25.71,25.57,25.55,25.46,25.31,25.42,,,,,,,,,,,,,
52:47.9,25.7,25.56,25.55,25.46,25.31,25.42,,,,,,,,,,,,,
52:48.4,25.7,25.56,25.55,25.46,25.31,25.42,,,,,,,,,,,,,
52:48.9,25.7,25.56,25.55,25.46,25.32,25.42,,,,,,,,,,,,,
52:49.4,25.7,25.56,25.55,25.46,25.33,25.42,,,,,,,,,,,,,
52:49.9,25.7,25.56,25.56,25.46,25.33,25.42,,,,,,,,,,,,,
52:50.4,25.7,25.56,25.56,25.46,25.33,25.42,,,,,,,,,,,,,
52:50.9,25.7,25.56,25.56,25.46,25.33,25.42,,,,,,,,,,,,,
52:51.4,25.69,25.56,25.56,25.46,25.33,25.42,,,,,,,,,,,,,
52:51.9,25.69,25.56,25.56,25.46,25.33,25.42,,,,,,,,,,,,,
52:52.4,25.69,25.56,25.56,25.46,25.32,25.42,,,,,,,,,,,,,
52:52.9,25.69,25.56,25.56,25.46,25.32,25.42,,,,,,,,,,,,,
52:53.4,25.69,25.56,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:53.9,25.69,25.56,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:54.4,25.69,25.56,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:54.9,25.69,25.56,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:55.4,25.69,25.56,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:55.9,25.7,25.56,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
52:56.4,25.7,25.56,25.56,25.46,25.31,25.43,,,,,,,,,,,,,
52:56.9,25.7,25.56,25.56,25.46,25.31,25.43,,,,,,,,,,,,,
52:57.4,25.7,25.56,25.56,25.46,25.31,25.43,,,,,,,,,,,,,
52:57.9,25.7,25.56,25.57,25.46,25.31,25.43,,,,,,,,,,,,,
52:58.4,25.7,25.56,25.57,25.46,25.31,25.43,,,,,,,,,,,,,
52:58.9,25.7,25.56,25.57,25.46,25.32,25.43,,,,,,,,,,,,,
52:59.4,25.7,25.56,25.57,25.46,25.32,25.42,,,,,,,,,,,,,
52:59.9,25.7,25.56,25.56,25.46,25.32,25.42,,,,,,,,,,,,,
53:00.4,25.7,25.56,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
53:00.9,25.7,25.56,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
53:01.4,25.7,25.56,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
53:01.9,25.7,25.56,25.56,25.46,25.32,25.42,,,,,,,,,,,,,
53:02.4,25.7,25.56,25.56,25.46,25.32,25.42,,,,,,,,,,,,,
53:02.9,25.7,25.56,25.56,25.46,25.33,25.42,,,,,,,,,,,,,
53:03.4,25.71,25.56,25.57,25.46,25.32,25.42,,,,,,,,,,,,,
53:03.8,25.71,25.56,25.57,25.47,25.31,25.42,,,,,,,,,,,,,
53:04.3,25.71,25.56,25.57,25.47,25.31,25.42,,,,,,,,,,,,,
53:04.8,25.72,25.56,25.57,25.47,25.31,25.42,,,,,,,,,,,,,
53:05.4,25.71,25.56,25.57,25.46,25.32,25.42,,,,,,,,,,,,,
53:05.9,25.71,25.56,25.57,25.46,25.32,25.42,,,,,,,,,,,,,
53:06.3,25.7,25.56,25.57,25.46,25.32,25.42,,,,,,,,,,,,,
53:06.8,25.7,25.56,25.57,25.46,25.31,25.42,,,,,,,,,,,,,
53:07.4,25.71,25.56,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
53:07.9,25.71,25.56,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
53:08.4,25.7,25.56,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
53:08.9,25.7,25.56,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
53:09.3,25.69,25.56,25.56,25.46,25.32,25.42,,,,,,,,,,,,,
53:09.9,25.69,25.56,25.56,25.46,25.32,25.42,,,,,,,,,,,,,
53:10.4,25.69,25.56,25.56,25.46,25.32,25.42,,,,,,,,,,,,,
53:10.9,25.69,25.56,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
53:11.4,25.69,25.56,25.56,25.46,25.31,25.42,,,,,,,,,,,,,
53:11.9,25.68,25.56,25.56,25.46,25.32,25.42,,,,,,,,,,,,,
53:12.4,25.68,25.56,25.56,25.46,25.32,25.42,,,,,,,,,,,,,
53:12.9,25.68,25.56,25.56,25.46,25.32,25.42,,,,,,,,,,,,,
53:13.4,25.69,25.56,25.56,25.46,25.32,25.42,,,,,,,,,,,,,
53:13.9,25.69,25.56,25.56,25.46,25.32,25.43,,,,,,,,,,,,,
53:14.4,25.69,25.56,25.56,25.46,25.32,25.43,,,,,,,,,,,,,
53:14.9,25.69,25.56,25.56,25.46,25.32,25.42,,,,,,,,,,,,,
53:15.4,25.69,25.56,25.56,25.46,25.32,25.42,,,,,,,,,,,,,
53:15.9,25.69,25.56,25.56,25.46,25.32,25.42,,,,,,,,,,,,,
53:16.4,25.69,25.56,25.56,25.46,25.32,25.42,,,,,,,,,,,,,
53:16.9,25.69,25.56,25.56,25.46,25.32,25.42,,,,,,,,,,,,,
53:17.4,25.69,25.56,25.56,25.46,25.33,25.42,,,,,,,,,,,,,
53:17.9,25.68,25.56,25.56,25.47,25.33,25.42,,,,,,,,,,,,,
53:18.4,25.68,25.56,25.56,25.47,25.33,25.42,,,,,,,,,,,,,
53:18.9,25.69,25.56,25.56,25.47,25.33,25.42,,,,,,,,,,,,,
53:19.4,25.68,25.56,25.56,25.47,25.33,25.42,,,,,,,,,,,,,
53:19.9,25.68,25.56,25.56,25.47,25.33,25.42,,,,,,,,,,,,,
53:20.4,25.69,25.56,25.56,25.47,25.33,25.42,,,,,,,,,,,,,
53:20.9,25.69,25.56,25.56,25.46,25.33,25.42,,,,,,,,,,,,,
53:21.5,25.69,25.55,25.56,25.46,25.33,25.42,,,,,,,,,,,,,
53:21.9,25.69,25.55,25.56,25.46,25.33,25.42,,,,,,,,,,,,,
53:22.4,25.69,25.55,25.55,25.46,25.33,25.42,,,,,,,,,,,,,
53:22.9,25.68,25.55,25.55,25.46,25.33,25.42,,,,,,,,,,,,,
53:23.4,25.68,25.55,25.55,25.46,25.33,25.42,,,,,,,,,,,,,
