time,'Heater 1: T (C)', 'Heater 2: T (C)', 'Sample Temperature 1: T (C)', 'Sample Temperature 2: T (C)', 'Sample Temperature 3: T (C)', 'Sample Temperature 4: T (C)'
38:56.2,3918,3897,3896,3893.6,3913.6,3896
38:56.6,3918.2,3897.2,3896,3893.6,3913.6,3896
38:57.0,3918,3897.2,3896,3893.6,3913.6,3896
38:57.4,3918,3897.2,3896,3893.6,3914,3896
38:57.8,3917,3897,3896,3893.4,3914.4,3896
38:58.2,3918,3897.2,3896,3893.6,3913.8,3896
38:58.6,3918.2,3897.4,3896,3893.6,3914,3896
38:59.0,3918.4,3897.4,3896,3893.4,3914,3896
38:59.4,3917.8,3897.4,3896,3893.4,3914,3896
38:59.8,3916.8,3897.2,3896,3893.2,3915,3896
39:00.2,3916.8,3897,3896,3893.2,3915.2,3896
39:00.7,3916.8,3897,3896,3893,3914.6,3896
39:01.1,3916.8,3897,3896,3893.2,3914.6,3896
39:01.5,3916.8,3897,3896,3893.2,3914.4,3896
39:01.9,3916.8,3897,3896,3892.8,3914.6,3896
39:02.3,3916.8,3897,3896,3893,3914.4,3896
39:02.8,3917,3897,3896,3893.2,3913.8,3896
39:03.2,3917.4,3897,3896,3893.2,3913.8,3896
39:03.6,3917.4,3897,3896,3893.4,3913.6,3896
39:04.0,3917,3897,3896,3893.2,3913.8,3896
39:04.4,3917,3897,3896,3893.2,3913.8,3896
39:04.8,3917.2,3897,3896,3893.2,3913.8,3896
39:05.2,3917.6,3897,3896,3893.4,3914,3896
39:05.6,3917.4,3897,3896,3893.4,3914.6,3896
39:06.0,3917.4,3897,3896,3893.2,3914.2,3896
39:06.4,3917,3897,3896,3893.2,3914.2,3896
39:06.8,3916.6,3897,3896,3892.8,3914.6,3896
39:07.2,3917,3897,3896,3892.4,3914.8,3896
39:07.6,3917.4,3897.2,3896,3892.4,3914.2,3896
39:08.0,3917.6,3897.2,3896,3892.8,3914.6,3896
39:08.4,3917.6,3897.6,3896,3892.6,3914.6,3896
39:08.8,3917.4,3897.6,3896,3892.6,3914.6,3896
39:09.2,3917.8,3897.8,3896,3892.4,3914.4,3896
39:09.7,3917.6,3897.6,3896,3892.4,3914.4,3896
39:10.1,3917.6,3897.6,3896,3892,3914.4,3896
39:10.5,3917.6,3897.6,3896,3892.4,3914.8,3896
39:10.9,3917.8,3897.4,3896,3892.8,3914.6,3896
39:11.3,3917.8,3897.4,3896,3893,3914.6,3896
39:11.7,3917.8,3897.4,3896,3893,3915,3896
39:12.1,3917.8,3897.2,3896,3893.2,3916,3896
39:12.5,3918.6,3897.4,3896,3893.4,3914.8,3896
39:12.9,3918.2,3897.2,3896,3893.4,3914.6,3896
39:13.4,3918,3897.4,3896,3893.4,3914.6,3896
39:13.8,3918,3897.4,3896,3893.4,3915,3896
39:14.2,3918.4,3897.6,3896,3893.4,3914.2,3896
39:14.6,3917.6,3897.4,3896,3893.4,3914.2,3896
39:15.0,3917.6,3897.2,3896,3893.4,3914.2,3896
39:15.4,3917.6,3897.2,3896,3893.4,3914.2,3896
39:15.8,3917.6,3897.6,3896,3893.4,3914,3896
39:16.2,3917.6,3897.2,3896,3893.4,3914,3896
39:16.6,3917.6,3897.2,3896,3893.4,3914.2,3896
39:17.0,3917.8,3897,3896,3893.4,3915.4,3896
39:17.4,3917.8,3897,3896,3893.4,3915.6,3896
39:17.9,3918,3897,3896,3893.4,3915.2,3896
39:18.3,3918.2,3897,3896,3893.2,3915.4,3896
39:18.7,3918,3897.4,3896,3893,3915.8,3896
39:19.1,3918.2,3897.6,3896,3893,3914.6,3896
39:19.5,3918,3897.2,3896,3893,3915.6,3896
39:19.9,3917.6,3897.2,3896,3893,3916.8,3896
39:20.3,3917.6,3897.4,3896,3893,3915.6,3896
39:20.7,3917.8,3897.4,3896,3893,3914.6,3896
39:21.1,3917.8,3897.4,3896,3892.6,3914.2,3896
